ad_id,product_id,title,description,date_post
1,1,Unit Langka! Toyota Yaris Tahun 2016 Bergaransi,Mobil bekas pemakaian pribadi dengan perawatan rutin. Cocok untuk yang mencari kendaraan handal dan ekonomis.,2024-08-09
2,2,Mobil Keluarga Toyota Yaris Tangan Pertama,"Mobil keluarga yang sangat terawat, tidak pernah alami kecelakaan serius. Sangat cocok untuk kendaraan sehari-hari.",2024-10-24
3,3,Unit Langka! Toyota Yaris Tahun 2014 Bergaransi,"Mobil Perak dalam kondisi sangat baik, terawat dengan dokumentasi lengkap. Siap digunakan untuk keluarga atau pribadi.",2024-10-08
4,4,Toyota Yaris 2020 Terawat Siap Pakai,"Mobil Biru muda dalam kondisi sangat baik, terawat dengan dokumentasi lengkap. Siap digunakan untuk keluarga atau pribadi.",2024-07-02
5,5,Mobil Keluarga Toyota Yaris Tangan Pertama,"Mobil Jingga dalam kondisi sangat baik, terawat dengan dokumentasi lengkap. Siap digunakan untuk keluarga atau pribadi.",2024-08-29
6,6,Promo Spesial Toyota Yaris Kilometer Rendah,"Mobil keluarga yang sangat terawat, tidak pernah alami kecelakaan serius. Sangat cocok untuk kendaraan sehari-hari.",2024-05-22
7,7,Mobil Keluarga Toyota Agya Tangan Pertama,"Kilometer rendah, service berkala di bengkel resmi. Tampilan seperti baru dengan kondisi mesin ok.",2024-03-25
8,8,Promo Spesial Toyota Agya Kilometer Rendah,Mobil bekas pemakaian pribadi dengan perawatan rutin. Cocok untuk yang mencari kendaraan handal dan ekonomis.,2024-09-08
9,9,Unit Langka! Toyota Agya Tahun 2022 Bergaransi,"Kondisi mesin prima, ban baru, interior bersih tanpa cacat. Mobil nyaman untuk perjalanan panjang.",2023-11-30
10,10,Mobil Keluarga Toyota Agya Tangan Pertama,Mobil bekas pemakaian pribadi dengan perawatan rutin. Cocok untuk yang mencari kendaraan handal dan ekonomis.,2024-04-17
11,11,Mobil Keluarga Toyota Calya Tangan Pertama,"Kilometer rendah, service berkala di bengkel resmi. Tampilan seperti baru dengan kondisi mesin ok.",2024-01-21
12,12,Unit Langka! Toyota Calya Tahun 2020 Bergaransi,"Kilometer rendah, service berkala di bengkel resmi. Tampilan seperti baru dengan kondisi mesin ok.",2024-05-02
13,13,Toyota Calya 2015 Terawat Siap Pakai,"Mobil keluarga yang sangat terawat, tidak pernah alami kecelakaan serius. Sangat cocok untuk kendaraan sehari-hari.",2024-01-02
14,14,Mobil Keluarga Toyota Calya Tangan Pertama,"Mobil keluarga yang sangat terawat, tidak pernah alami kecelakaan serius. Sangat cocok untuk kendaraan sehari-hari.",2023-12-16
15,15,Unit Langka! Daihatsu Ayla Tahun 2013 Bergaransi,"Kilometer rendah, service berkala di bengkel resmi. Tampilan seperti baru dengan kondisi mesin ok.",2024-04-15
16,16,Daihatsu Ayla 2017 Terawat Siap Pakai,"Kondisi mesin prima, ban baru, interior bersih tanpa cacat. Mobil nyaman untuk perjalanan panjang.",2024-02-27
17,17,Unit Langka! Daihatsu Ayla Tahun 2015 Bergaransi,"Mobil Zaitun dalam kondisi sangat baik, terawat dengan dokumentasi lengkap. Siap digunakan untuk keluarga atau pribadi.",2024-05-10
18,18,Daihatsu Ayla 2019 Terawat Siap Pakai,Mobil bekas pemakaian pribadi dengan perawatan rutin. Cocok untuk yang mencari kendaraan handal dan ekonomis.,2024-07-11
19,19,Promo Spesial Daihatsu Ayla Kilometer Rendah,"Kilometer rendah, service berkala di bengkel resmi. Tampilan seperti baru dengan kondisi mesin ok.",2024-05-10
20,20,Promo Spesial Daihatsu Terios Kilometer Rendah,"Mobil keluarga yang sangat terawat, tidak pernah alami kecelakaan serius. Sangat cocok untuk kendaraan sehari-hari.",2024-09-10
